budget,Airport,Brain,Email
0.1,21.767760000000003,8.76047,36.11576
0.2,48.873000000000005,15.25959,84.58117
0.3,74.00729,20.39089,122.50967
0.4,99.23888,23.59968,148.47217
0.5,120.85596000000001,27.390300000000003,169.1043
