budget,infectious ratio
0.01,-0.0006243546961601787
0.02,0.002024933210026003
0.03,0.0010821795727335992
0.04,0.0022336720728269865
0.05,0.0014232108570005897
0.1,0.014343015894284883
0.2,0.04058223417914342
0.3,0.07307722574741848
0.4,0.11068752041792379
0.5,0.15878927432737117
